Manufacturer,Brand,Product Name,Model Number,Input Power Type,Fixture Maximum Ambient Temp,Width,Height,Diameter,Warranty,Length,Date Qualified,Reported Minimum Input Voltage,Reported Maximum Input Voltage,Spectrally Tunable,Dimmable,Reported Photosynthetic Photon Efficacy (400-700nm),Reported Photosynthetic Photon Flux (400-700nm),Reported Minimum Photosynthetic Photon Flux,Reported Default Photosynthetic Photon Flux,Reported Photon Flux Blue (400-500nm),Reported Photon Flux Green (500-600nm),Reported Photon Flux Red (600-700nm),Reported Photon Flux Far Red (700-800nm),Reported Photon Flux (280-800nm),Reported Photon Efficacy (280-800nm),Tested Photosynthetic Photon Efficacy (400-700nm),Tested Photosynthetic Photon Flux (400-700nm),Tested Photon Flux Blue (400-500nm),Tested Photon Flux Green (500-600nm),Tested Photon Flux Red (600-700nm),Tested Photon Flux Far Red (700-800nm),Tested Photon Flux (280-800nm),Tested Photon Efficacy (280-800nm),Reported Input Wattage,Reported Default Input Wattage,Reported Minimum Input Wattage,Reported Power Factor,Reported Total Harmonic Distortion,Tested Input Wattage,Tested Voltage for Minimum Efficacy,Tested Power Factor,Tested Total Harmonic Distortion,Tested DC Input Current,Dimming and Control Method to the Product
Greenlux Lighting Solutions Ltd.,Valoya,RX360LV S2,RX360LV S2,AC,40,9.2,6.9,,5,13.2 in,2024-07-22,120,277,No,TRUE,3.09,1150,0,1149.9,56,109,984,12,,,,,,,,,,,374.1,374.1,0,0.995,8.3,,,,,,0-10V IEC60929 Annex E
Greenlux Lighting Solutions Ltd.,Valoya,RX360HV S2,RX360HV S2,AC,40,9.2,6.9,,5,13.2 in,2024-07-22,220,480,No,,3.09,1150,,,56,109,984,12,,,,,,,,,,,363.43,,,0.957,11.6,,,,,,
HortiBest,HortiBest,OG3-1300 Grow Light,OC-H-240A FIF,AC,45,34.8,2.28,,5,48.0 in,2024-12-18,200,277,No,TRUE,3.09,751,0,750.9,106,220,425,50,,,3.09,751,106,220,425,50,,,240,240,0,0.934,5.4,242.9,200,0.934,5.4,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Nedlights b.v.,NEDLIGHTS,LED Lighting,LFGT760L0EFI01,AC,40,12.4,4.21,,5,20.4 in,2024-08-27,208,400,Yes,TRUE,3.08,2340,0,2339.8,103,85,2152,171,,,3.08,2340,103,85,2152,171,,,759.61,759.6,0,0.975,6.8,759.61,208,0.974,6.6,,LoRa
Nedlights b.v.,NEDLIGHTS,LED Lighting,LFGT760L0EFI01,AC,40,12.4,4.21,,5,20.4 in,2024-08-27,208,400,Yes,TRUE,3.08,2340,0,2339.8,103,85,2152,171,,,3.08,2340,103,85,2152,171,,,759.61,759.6,0,0.975,6.8,759.61,208,0.974,6.6,,LoRa
Shenzhen Hortiright Co Ltd,Hortiright,Horticultural Luminaires,HR-P720H,AC,40,44.09,1.06,,5,44.4 in,2024-10-23,208,480,No,TRUE,3.08,2204,0,2204,401,721,1083,29,,,3.08,2204,401,721,1083,29,,,720,720,0,0.922,12.4,714.8,208,0.922,12.4,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
HLG,Horticulture Lighting Group,HLG Greenhouse PRO 650 FS HV,HLG Greenhouse PRO 650 FS HV,AC,40,6.75,4.75,,5,60.0 in,2024-03-04,277,277,No,TRUE,3.08,2019,0,2018.7,264,535,1228,14,,,3.08,2019,264,535,1228,14,,,656,656,0,0.964,9,655.53,277,0.964,9.1,,0-10V Other Protocol
Fluence Bioengineering,Fluence,VYPR 3x,"VR-3X-DR9-[LVG,HVG]-[S,B]",AC,40,2.91,3.23,,5,24.0 in,2021-09-09,120,480,No,TRUE,3.08,1048,,,37,1,1010,4,,,3.08,1048,37,1,1010,4,,,340,340,1,0.987,11,340,120,0.927,11.4,,0-10V Other Protocol
HLG,Horticulture Lighting Group,HLG Scorpion Diablo HV,HLG Scorpion Diablo HV,AC,40,36,3.75,,5,39.6 in,2024-11-20,240,277,No,TRUE,3.07,4615,0,1111.8,911,1417,2311,52,,,3.07,4615,911,1417,2311,52,,,1501,313,0,0.99,7,1501.2,240,0.991,6.8,,0-10V Other Protocol
MechaTronix,MechaTronix,Horticultural Lighting Series,Coolstack Boost DUAL 5RBHW+FR HC,AC,30,6.69,6.32,,10,39.6 in,2024-02-16,277,480,Yes,TRUE,3.07,3146,0,2901,220,109,2819,9,,,3.06,3146,220,109,2819,9,,,1027,1027,0,0.984,11.3,1027.1,277,0.994,,,Bluetooth - Manufacturer Specific
Active Grow,ACTIVE GROW,LOPRO MAX 3.0 LED GROW LIGHT,AG/800LPM3/FS/480V,AC,45,42,2.56,,5,42.0 in,2023-12-21,208,480,No,TRUE,3.07,2439,243.9,2438.9,439,885,1115,39,,,,,,,,,,,794,793.7,80,0.994,5,,,,,,0-10V IEC60929 Annex E
Grower’s Choice,Grower's Choice,,ROI-FF,AC,40,44,4.2,,5,45.6 in,2024-06-25,120,277,No,TRUE,3.07,1996,0,1996,359,644,995,30,,,3.07,1996,359,644,995,30,,,650,650,0,0.966,11.2,650.8,120,0.966,11.2,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Shenzhen Hortiright Co Ltd,Hortiright,Horticultural Luminaires,TL-630,AC,40,3.52,6.16,,5,46.8 in,2024-10-23,208,480,No,TRUE,3.07,1904,0,1904,331,686,888,27,,,3.07,1904,331,686,888,27,,,630,630,0,0.911,13.9,620.9,208,0.911,13.9,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
"PhotonTek, Inc.",PhotonTek,,X 600W PRO 3.1 277V,AC,40,42.95,3.2,,5,46.8 in,2024-09-17,277,277,No,TRUE,3.07,1928,0,1927.8,279,773,876,25,,,3.07,1928,279,773,876,25,,,627.7,627.7,0,0.958,9.2,627.7,277,0.958,9.2,,0-10V IEC60929 Annex E
Grower’s Choice,Grower's Choice,,Under canopy light,AC,40,3.55,3.21,,5,44.4 in,2024-12-10,120,277,No,TRUE,3.07,371,37.1,371.1,50,95,226,4,,,3.07,371,50,95,226,4,,,120,120,12,0.95,10.1,120.08,120,0.949,10.1,,0-10V IEC60929 Annex E
Signify North America Corporation – Horti LED,Philips,GreenPower LED Production Module,TLF20 3500 3.4 RWF1 277-400V [CC3/WC3] QB,AC,40,14.3,5.1,,5,27.6 in,2024-11-12,277,400,Yes,TRUE,3.06,3185,0,3500,159,159,2867,315,3500,3.37,3.16,3196,160,278,2758,314,3515,3.48,1040,1040,0,0.98,10,1010.3,277,1,8.9,,"Zigbee - Manufacturer Specific, Power Line Communication, No"
HLG,Horticulture Lighting Group,HLG700 V2 HV,HLG700 V2 HV,AC,40,27.13,3.75,,5,27.6 in,2024-09-17,240,277,No,TRUE,3.06,2144,0,1111.8,438,669,1048,25,,,3.06,2144,438,669,1048,25,,,702,313,0,0.994,7,701.6,240,0.991,7.2,,0-10V Other Protocol
Active Grow,ACTIVE GROW,LOPRO MAX 3.0 LED GROW LIGHT,AG/650LPM3/FS/277V,AC,45,42,2.56,,5,42.0 in,2023-12-21,120,277,No,TRUE,3.06,1970,197,1969.5,359,707,903,34,,,,,,,,,,,644,644.3,65,0.999,2,,,,,,0-10V IEC60929 Annex E
Active Grow,ACTIVE GROW,LOPRO MAX 3.0 LED GROW LIGHT,AG/650LPM3/FS/480V,AC,45,42,2.56,,5,42.0 in,2023-12-21,208,480,No,TRUE,3.06,1936,193.6,1936.2,351,697,889,33,,,3.06,1936,351,697,889,33,,,633,632.7,65,0.992,5,632.74,277,0.944,9.2,,0-10V IEC60929 Annex E
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1750 DRWFR_RSE 200-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.06,1593,175,1750,80,143,1370,158,1750,3.37,,,,,,,,,520,520,48.6,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1750 DRWFR_1 200-400V 1.3D WB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.06,1593,175,1750,80,143,1370,158,1750,3.37,,,,,,,,,520,520,49,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1750 DRWFR_1 200-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.06,1593,175,1750,80,143,1370,158,1750,3.37,3.09,1618,81,148,1390,159,1778,3.39,520,520,48.6,0.98,15,523,200,1,11.2,,"Power Line Communication, No"
All purpose LED Grow Lights international ltd,AELIUS LED,Matrx 420F XR,M420F,AC,35,41.38,3.07,,5,43.2 in,2024-02-19,220,277,No,TRUE,3.06,1287,0,1287,249,457,582,19,,,3.06,1287,249,457,582,19,,,420,420,0,0.984,10,420,220,0.973,10.9,,"0-10V Other Protocol, PWM"
"Venntis Technologies, DBA TotalGrow Lights",TotalGrow,TotalGrow HE High Intensity Top-Light 330W Bar,TG33B4-R1J-31-D1-K0BJ6,AC,40,3,4,,5,25.2 in,2024-01-03,120,277,No,TRUE,3.06,1053,0,1053.2,161,240,653,8,1061,3.06,3.04,1053,161,239,653,8,1061,3.06,347,347,0,0.96,6,346.58,120,0.96,5.9,,0-10V IEC60929 Annex E
"Venntis Technologies, DBA TotalGrow Lights",TotalGrow,"TotalGrow HE High Intensity Top-Light 330W Bar, 277-480V driver",TG33B4-R1J-31-D1-L0BJ6,AC,40,3,4,,5,25.2 in,2024-01-03,277,480,No,TRUE,3.06,1053,0,1053.2,161,240,653,8,1061,3.06,,,,,,,,,347,347,0,0.982,4,,,,,,0-10V IEC60929 Annex E
P.L. Light Systems Canada Inc.,PARFX,,"PARFX BALENSBEAM R79:W8:B5:FR8 (230W, 208-400V,PLC)",AC,35,2.36,4.45,,5,49.2 in,2024-07-02,208,400,No,TRUE,3.06,727,0,726.9,40,64,623,70,,,3.06,727,40,64,623,70,,,237.5,237.5,0,0.965,19,237.5,208,0.995,10.4,,Ethernet TCP/IP
Acuity Brands Lighting,Verjure,Arize Life2,VAL2 L48 PUB SEFY,AC,40,1.5,2,,,46.8 in,2021-01-06,120,277,No,TRUE,3.06,99,,,21,0,78,0,99,3.06,3.04,97.952,20.929,0.18,76.834,0.121,,,32,32,3.5,0.94,8.7,32.17,,0.936,7,,0-10V Other Protocol
"PhotonTek, Inc.",PhotonTek,,X 1000W PRO EVO 3.1 277V,AC,40,42.95,3.2,,5,46.8 in,2024-09-17,277,277,No,TRUE,3.05,3278,0,3228,467,1295,1467,42,,,3.05,3228,467,1295,1467,42,,,1058.14,1058.1,0,0.973,6,1058.14,277,0.973,6,,0-10V IEC60929 Annex E
ILUMINAR Lighting,ILUMINAR LIGHTING,,IL-L1050MS,AC,40,43.31,2.95,,5,43.2 in,2024-12-03,100,277,Yes,TRUE,3.05,3483,348,3483,658,1190,16336,148,,,,,,,,,,,1050,1050,105,0.97,5.9,,,,,,0-10V IEC60929 Annex E
Dutch Lighting Innovations,DLI,DLI ZENITH,DLI Zenith 870W 347-400V R90G5B5-FR10 DEEP WD,AC,25,8.27,5.12,,5,36.0 in,2024-09-09,347,400,Yes,TRUE,3.05,2694,0,2693.9,170,140,2386,267,,,,,,,,,,,881.8,881.8,0,0.99,4.9,,,,,,Digital Dim based on RS485
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 2750 DRWFR_1 400V 1.2D SB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.05,2503,275,2502.5,125,225,2152,248,2750,3.35,,,,,,,,,820,820,81.2,0.98,15,,,,,,"Power Line Communication, No"
Active Grow,ACTIVE GROW,LOPRO MAX 3.0 LED GROW LIGHT,AG/800LPM3/FS/277V,AC,45,42,2.56,,5,42.0 in,2023-12-21,120,277,No,TRUE,3.05,2432,243.2,2431.7,440,881,1111,40,,,3.05,2432,444,881,1111,40,,,796,796.3,80,0.999,3,796.28,120,0.974,6.5,,0-10V IEC60929 Annex E
HortiBest,HortiBest,OF6-2600 Grow Light,OF-6-680PA FIF,AC,45,48.03,2.28,,5,48.0 in,2024-12-20,200,277,No,TRUE,3.05,2073,0,2073,288,610,1177,171,,,3.05,2073,288,610,1177,171,,,680,680,0,0.934,7.6,679.5,200,0.934,7.6,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Fluence Bioengineering,Fluence,VYPR 3p,"VR-3P-DR9-[LVG,HVG]-[S,B]",AC,35,2.91,3.23,,5,42.0 in,2022-01-28,120,480,No,TRUE,3.05,2012,,,76,3,1932,9,,,3.05,2012,76,3,1932,9,,,660,660,1,0.966,7,660.2,120,0.965,7.8,,0-10V Other Protocol
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Compact,GPL TLC 1830 DRW_EBW 200-400V 1.3D SB,AC,40,9.5,3.5,,5,28.8 in,2023-09-15,200,400,No,TRUE,3.05,1830,183,1830,366,366,1098,,1830,3.05,,,,,,,,,600,600,56.7,0.98,15,,,,,,"Power Line Communication, No"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 720 DRW_EBW 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,3.05,713,178.2,712.8,143,143,428,7,720,3.08,3.01,691,143,135,414,7,700,3.05,234,234,58.5,0.95,15,229.5,277,1,9.1,,Power Line Commincation
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting,GPL TLL 720 DRW_EBW 277-400V 2.3 D,AC,40,2.2,3.2,,5,49.2 in,2024-07-31,277,400,No,TRUE,3.05,713,178.2,712.8,143,143,428,7,720,3.08,3.01,691,143,135,414,7,700,3.05,234,234,58.5,0.95,15,229.5,277,1,9.1,,Power Line Commincation
ILUMINAR Lighting,Hypermol,Horticultural LED Lighting,IL-UNDCPY-160,AC,40,3,3.2,,5,45.6 in,2024-08-21,120,277,No,,3.05,467,,,40,42,388,4,,,3.05,467,40,42,385,4,,,153,,,0.939,15,153.24,120,0.939,14.5,,
ILUMINAR Lighting,Hypermol,Horticultural LED Lighting,IL-UNDCPY-160,AC,40,3,3.2,,5,45.6 in,2024-08-21,120,277,No,,3.05,467,,,40,42,388,4,,,3.05,467,40,42,385,4,,,153,,,0.939,15,153.24,120,0.939,14.5,,
"Shenzhen guanke technologies Co., Ltd",GK,,G57-120W-01,AC,45,2.4,2.87,,5,52.8 in,2024-10-18,120,277,No,TRUE,3.05,353,0,353.4,21,39,294,2,,,3.05,353,21,39,294,2,,,120,120,0,0.923,12.5,115.8,120,0.923,12.5,,0-10V Other Protocol
HLG,HLG,Under Canopy Grow Light,HLGUCL,AC,45,2.4,2.87,,5,52.8 in,2024-10-18,120,277,No,TRUE,3.05,353,0,353.4,21,39,294,2,,,3.05,353,21,39,294,2,,,120,120,0,0.923,12.5,115.8,120,0.923,12.5,,0-10V Other Protocol
ICY LLC,ICY,Under Canopy Grow Light,ICY POP+,AC,45,2.4,2.87,,5,52.8 in,2024-10-18,120,277,No,TRUE,3.05,353,0,353.4,21,39,294,2,,,3.05,353,21,39,294,2,,,120,120,0,0.923,12.5,115.8,120,0.923,12.5,,0-10V Other Protocol
Acuity Brands Lighting,Verjure,Arize Life2,VAL2 L48 PPF SEFY,AC,40,1.5,2,,,46.8 in,2021-07-15,120,277,No,TRUE,3.05,89,,,11,0,78,4,93,3.19,3.05,89.145,10.455,0.123,78.103,4.456,,,29,29,3.5,0.924,9.7,29.21,,0.923,7.6,,0-10V Other Protocol
ILUMINAR Lighting,ILUMINAR LIGHTING,,IL-L700MS,AC,40,43.31,2.95,,5,43.2 in,2024-12-03,100,277,Yes,TRUE,3.04,2298,230,2298,423,785,1091,100,,,3.04,2298,423,785,1091,100,,,700,700,70,0.97,5.9,755.9,100,0.971,6.2,,0-10V IEC60929 Annex E
Fluence Bioengineering,Fluence,VYPR 3p,"VR-3P-BP8-[LVG,HVG]-[S,B]",AC,35,2.91,3.23,,5,42.0 in,2020-11-02,120,480,No,TRUE,3.04,1978,,,142,207,1628,9,,,2.88,1812,128,191,1492,11,,,651,651,1,0.955,8,629.2,120,0.968,7.4,,0-10V Other Protocol
Grower’s Choice,Grower's Choice,Horticultural Luminaires,TSL-650,AC,35,15.91,7.48,,5,22.8 in,2024-10-18,208,480,No,TRUE,3.04,1951,0,1951,499,671,783,19,,,3.04,1951,499,671,783,19,,,650,650,0,0.908,12.5,642.8,208,0.908,12.5,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Acuity Brands Lighting,Verjure,Arize Element L1000,VAE1 PKR HEFY [ALL VOLTAGES] GZ10 XWD [All Options],AC,40,7,2.93,,5,28.8 in,2022-06-06,120,480,No,TRUE,3.04,1817,,,139,249,1429,8,1825,3.05,3.04,1817,139,249,1429,8,1825,3.05,598,598,0.5,0.967,8,597.87,277,0.967,8.1,,0-10V Other Protocol
"Agnetix, Inc.",PHENOM,PHENOM Full Spectrum,A8-0365-FSS1-0000,AC,40,,,2.13,5,96.0 in,2024-04-30,277,277,No,TRUE,3.04,1081,0,1081,200,385,496,27,1108,3.12,3.04,1081,200,385,496,27,1108,3.12,355.1,355.1,1,0.95,9.6,355.1,277,0.95,9.6,,"Power Over Ethernet, Ethernet TCP/IP, Ethernet Proprietary, Bacnet, Rest API, Proprietary Power Line carrier"
Eralux Inc.,ERALUX,LED GROW LIGHT,AE-HC-LG200HV36RD01,AC,40,2.83,2.99,,5,24.0 in,2024-11-22,200,480,No,TRUE,3.04,608,0,600,95,191,322,9,,,3.04,608,95,191,322,9,,,200,200,0,0.992,4.8,200.4,277,0.992,4.8,,"0-10V ANSI C137.1 (9V), N/A"
All purpose LED Grow Lights international ltd,AELIUS LED,Matrx 730F XR,M730F,AC,35,41.38,3.07,,5,43.2 in,2024-02-19,220,277,No,TRUE,3.03,2201,0,2201,424,765,1012,34,,,3.03,2201,424,765,1012,34,,,726,726,0,0.985,12,726.3,220,0.974,8.9,,"0-10V Other Protocol, PWM"
All purpose LED Grow Lights international ltd,AELIUS LED,Aelius 300 XR,APGL-AELIUS-3-I-1-M-NL,AC,35,3.74,3.29,,5,39.6 in,2021-02-28,220,277,No,TRUE,3.03,962,0,961.6,177,335,449,14,,,3.03,962,177,335,449,14,,,317,317,0,0.986,6.5,317,220,0.965,8.6,,"0-10V Other Protocol, PWM"
Signify North America Corporation – Horti LED,Philips,GreenPower LED Top Lighting Linear,GPL TLL 720 DRW_EBW 277-400V 2.2D,AC,40,2.2,3.2,,5,50.4 in,2024-01-23,277,400,No,TRUE,3.03,713,72,720,143,143,428,7,720,3.06,2.91,690,135,140,415,8,700,2.95,235,235,25,0.95,15,237,277,1,8.3,,"Power Line Communication, No"
SINOWELL INC,FLEXSTAR,LED Linear Light,FLEXSTAR UNDER CANOPY 120W R6W,AC,35,2.9,3.3,,5,45.6 in,2024-01-03,208,277,No,TRUE,3.03,350,0,349.8,45,92,213,5,,,3.03,350,45,92,213,5,,,120,120,0,0.9,20,115.44,208,0.946,11.7,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Faven Lighting,Faven Lighting,LED Grow Light,Under Canopy R6 Model,AC,35,2.9,3.3,,5,45.6 in,2024-01-03,208,277,No,TRUE,3.03,350,0,349.8,45,92,213,5,,,3.03,350,45,92,213,5,,,120,120,0,0.9,20,115.44,208,0.946,11.7,,"0-10V IEC60929 Annex E, 0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
"Shenzhen Andy photoelectric technology Co., LTD",ANDY,1300W LED GROW LIGHT-FOLDABLE,AD10-1300-2A1-180,AC,45,43.54,2.56,,5,70.8 in,2024-12-12,120,277,No,TRUE,3.02,4113,411,4113,749,1416,1950,206,,,,,,,,,,,1300,1300,130,0.968,12.5,,,,,,0-10V IEC60929 Annex E
Signify North America Corporation – Horti LED,Philips,GreenPower LED Toplighting Force,GPL TLF 3000 DRWFR_5 400V 1.2D WB,AC,40,12.2,4.4,,5,27.6 in,2024-11-22,400,400,No,TRUE,3.02,2865,300,2865,143,258,2464,135,3000,3.16,3.07,2909,139,260,2509,129,3039,3.21,950,950,89,0.98,15,946.5,400,0.99,11.6,,"Power Line Communication, No"
Shenzhen Hortiright Co Ltd,Hortiright,Horticultural Luminaires,HR-T800B,AC,40,12.6,4.98,,5,26.4 in,2024-10-23,208,480,No,TRUE,3.02,2463,0,2463,457,805,1202,30,,,3.02,2463,457,805,1202,30,,,800,800,0,0.966,9.1,815.7,208,0.966,9.1,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Atlantic Interstellar LLC,Atlantic Interstellar,,AT-1C-VG-400,AC,40,39,0.16,,5,43.2 in,2024-09-19,120,277,No,TRUE,3.02,1113,111.3,1113,331,525,258,20,,,3.02,1113,331,525,258,20,,,400,400,40,0.98,5.4,368.64,120,0.981,5.4,,0-10V IEC60929 Annex E
Grow Pros Solutions,GROW PROS SOLUTIONS,,GPS-UCL4-300W-RED,AC,40,3.69,2.76,,5,92.4 in,2024-11-26,120,277,Yes,TRUE,3.02,839,83.9,838.7,74,178,587,162,,,,,,,,,,,300,300,30,0.96,4.3,,,,,,0-10V IEC60929 Annex E
Grow Pros Solutions,GROW PROS SOLUTIONS,,GPS-UCL4-150W-RED,AC,40,3.69,2.76,,5,44.4 in,2024-11-26,120,277,Yes,TRUE,3.02,423,42.3,422.7,37,90,296,82,,,3.02,423,37,90,296,82,,,150,150,15,0.92,8.1,139.96,120,0.925,8.1,,0-10V IEC60929 Annex E
Fluence Bioengineering,FLUENCE,VYNE,VN-A-25-BP6-MVG-X,AC,45,2.6,3.5,,5,98.4 in,2022-04-13,200,400,No,,3.02,311,,,37,76,200,4,,,3.02,311.35,36.5,75.83,200.39,3.63,,,103,103,0,0.9,20,103,200,0.943,11.7,,
Acuity Brands Lighting,Verjure,Arize Life3,VAL3 L48 PKR HO,AC,40,1.5,2,,5,46.8 in,2023-04-30,120,277,No,TRUE,3.02,208,,,21,30,157,1,208,3.02,3.01,208,21,30,157,1,208,3.02,68,68,0.5,0.926,10,69.09,120,0.926,10.1,,0-10V Other Protocol
Eco Growtech Inc,Eco Growtech,LED Grow Light,Eco proline 1000,AC,40,42.8,1.6,,5,43.2 in,2024-06-28,120,277,No,TRUE,3.01,3155,0,3155,666,1128,1362,43,,,,,,,,,,,1000,1000,0,0.975,5.2,,,,,,0-10V Other Protocol
"Zhongshan Lumigentek Lighting Technology Co., Ltd.",HortiBloom,LED GROW LIGHT,Mega Optic 1000,AC,40,42.8,1.6,,5,43.2 in,2024-06-28,120,277,No,TRUE,3.01,3155,0,3155,666,1128,1362,43,,,,,,,,,,,1000,1000,0,0.975,5.2,,,,,,0-10V Other Protocol
Hawthorne Gardening Company,Gavita,Gavita® Pro RS 2400e LED 120-277 V,HGC906052,AC,50,43.25,3.3,,5,44.4 in,2022-07-22,208,277,No,TRUE,3.01,2433,,,488,854,1106,26,,,3.01,2433,488,854,1106,26,,,810,810,0.8,0.99,8,809.53,208,0.99,7.5,,"0-10V Other Protocol, 0-10V EIA-485"
Hawthorne Gardening Company,Gavita,CT 2000e LED,HGC906415,AC,40,12.1,5.1,,5,25.2 in,2024-05-31,208,480,No,TRUE,3.01,1992,0,1991.8,415,670,918,37,,,3.01,1992,415,670,918,37,,,662,661.6,2.6,0.913,15,661.6,480,0.913,14.6,,"0-10V Other Protocol, 0-10V EIA-485"
Grower’s Choice,Grower's Choice,Horticultural Luminaires,ROI-FF(208V-480V),AC,35,40.94,4.33,,5,45.6 in,2024-10-30,208,480,No,TRUE,3.01,1976,0,1976,384,643,951,26,,,3.01,1976,384,643,951,26,,,650,650,0,0.914,12.7,655.7,208,0.914,12.7,,"0-10V ANSI C137.1 (8V), 0-10V ANSI C137.1 (9V)"
Hawthorne Gardening Company,Gavita,RS 1900e,HGC906410,AC,40,44.75,3.2,,5,43.2 in,2023-10-02,208,480,No,TRUE,3.01,2025,0,2000,413,685,939,32,,,3.01,2025,413,685,939,32,,,650,650,0,0.963,10,672.1,208,0.998,,,0-10V Other Protocol
Acuity Brands Lighting,Verjure,Arize L2000,"VAE2 2 PKR [MVOLT, XVOLT] GZ10 XWD [All Options]",AC,35,10.9,5.7,,5,24.0 in,2024-09-30,120,480,No,,3.01,1901,,,143,283,1475,10,1911,3.03,3.01,1901,143,283,1475,10,1911,3.03,631,,,0.9,9,631.08,120,0.968,8,,
"Ningbo Smart Electronics Co., Ltd.",ESTTECH,,EST-LED-600I pro,AC,40,43.2,3.12,,5,48.0 in,2024-12-20,110,277,Yes,TRUE,3.01,1936,110,1936,320,316,1300,17,,,3.01,1936,320,316,1300,17,,,600,600,70,0.998,2,643.7,120,0.998,2.2,,0-10V ANSI C137.1 (8V)
Greenlux Lighting Solutions Ltd.,Valoya,RX325LV S2,RX325LV S2,AC,40,9.2,6.9,,5,13.2 in,2024-07-22,120,277,No,TRUE,3.01,1027,0,1027.2,50,98,879,11,,,3.01,1027,50,98,879,11,,,340.7,340.7,0,0.987,11.7,340.7,120,0.987,11.7,,0-10V IEC60929 Annex E
Grow Pros Solutions,GROW PROS SOLUTIONS,,GPS-UCL3-300W,AC,40,3.69,2.76,,5,92.4 in,2024-11-26,120,277,Yes,TRUE,3.01,838,83.8,838.1,139,236,464,76,,,,,,,,,,,300,300,30,0.94,8.8,,,,,,0-10V IEC60929 Annex E
Grow Pros Solutions,GROW PROS SOLUTIONS,,GPS-UCL3-150W,AC,40,3.69,2.76,,5,44.4 in,2024-11-26,120,277,Yes,TRUE,3.01,419,41.9,418.8,69,118,232,38,,,3.01,419,69,118,232,38,,,150,150,15,0.92,8.1,139.14,120,0.904,14.8,,0-10V IEC60929 Annex E
MechaTronix,MechaTronix,Horticultural Lighting Series,COOLSTACK BOOST DUAL 5RBHW+FR HC III,AC,30,6.69,6.32,,10,39.6 in,2024-06-28,277,480,Yes,TRUE,3,3160,0,3388,216,173,2773,229,3388,3.22,3,3160,216,173,2773,229,3388,3.22,1052,1049,0,0.985,11,1052.2,277,0.985,10.7,,Bluetooth - Manufacturer Specific
Fluence Bioengineering,FLUENCE,RAPTR,"RP-[A,C]-BP8-1K-150-JVG-RST1-S",AC,45,11.3,4.21,,,39.6 in,2023-03-28,277,480,No,TRUE,3,3032,,,240,389,2410,25,,,3,3033,240,389,2410,25,,,1020,1020,4.5,0.956,9,1010,277,0.956,9,,0-10V Other Protocol
Acuity Brands Lighting,Verjure,Arize L2000,VAE2 3 PKR XVOLT GZ10 XWD [All Options],AC,35,16.2,6.4,,5,24.0 in,2023-10-31,277,480,No,TRUE,3,3009,0,3009.2,236,445,2329,16,3026,3.02,3,3009,236,445,2329,16,3026,3.02,1002,1002,1.5,0.963,9,1021.4,277,0.963,8.5,,0-10V Other Protocol
"Shenzhen Longood Intelligent Electric Co., Ltd",Longbright,Full Spectrum High PPE 1000W LED grow light,S1000 Pro,AC,35,44.4,4.53,,5,45.6 in,2024-04-16,120,277,No,TRUE,3,3069,306.9,3069,694,1273,1103,37,,,3,3069,694,1273,1103,37,,,1000,1000,100,0.985,5.6,1024,240,0.986,5.6,,"0-10V IEC60929 Annex E, Dimming Button"
"Shenzhen Longood Intelligent Electric Co., Ltd",HyBox,Full Spectrum High PPE 1000W LED grow light,S1000 Pro,AC,35,44.4,4.53,,5,45.6 in,2024-04-16,120,277,No,TRUE,3,3069,306.9,3069,694,1273,1103,37,,,3,3069,694,1273,1103,37,,,1000,1000,100,0.985,5.6,1024,240,0.986,5.6,,"0-10V IEC60929 Annex E, Dimming Button"
